No,Test Condition,Test Execution,Expected result,Test Result (Pass/Fail),Defect # (if any),Remarks
BIYP Duitnow Dashboard,,,,,,
1,"Access DuitNow Transfer page

","1. Home page
2. DuitNow Transfer

","Brought to DuitNow Transfer Page - 
1. Pay From
2. Pay To
3. Amount
4. Detail
5. Preview
""Step 1 of 5"" button to continue

",,,
"""Pay From"" page",,,,,,
2,"Access DuitNow Transfer ""Pay From"" page
","1. Home page
2. Duitnow Transfer
3. ""Step 1 of 5"" button
","Pay From page: 
List of all user accounts: SavingsPlus, eSaving, Current etc.",,,
3,"Select account from ""Pay From"" page","1. DuitNow ""Pay From"" page
2. Click on account that is not defaulted account chosen (2nd and below)",Account should show green checkmark next to indicating it has been chosen,,,
4,"Back button

","""Pay From"" page -> Back button




","Brought to Duitnow Dashboard page
",,,
5,"Proceed to ""Pay To"" page","1. DuitNow ""Pay From"" page
2. Selected account (and passed step 3)
3. ""Next"" button

","Brought to DuitNow ""Pay To"" page
",,,
"""Pay To"" page",,,,,,
6,"Access DuitNow Transfer ""Pay To"" page
","1. ""Pay From"" page
2. Select account
3. Click next
","""Pay To"" page - 
New Transfer, Favourite, Recent List 
1. New Transfer should have phone icon next to it
1. Favourite list should show list of favourites 
2. Recent List should show most recent Duitnow Transaction receivers in most recent order from top",,,
7,Select Duitnow new transfer from name/mobile no. search,"1. ""Pay To"" page
2. New Transfer search
2. Search for payee/mobile no. name
3. Click Payee name","1. Green checkmark appears next to name
2. Next button to proceed to ""Transfer Amount"" appears ",,,
8,Select Duitnow new transfer from favourites,"1. ""Pay To"" page
2. Select from Favourite list","1. Green checkmark appears next to name
2. Next button to proceed to ""Transfer Amount"" appears ",,,
9,Select Duitnow new transfer from recents,"1. ""Pay To"" page
2. Select from Recent List","1. Green checkmark appears next to name
2. Next button to proceed to ""Transfer Amount"" appears ",,,
10,"Back button

","""Pay To"" page -> Back button




","Brought to ""Pay From"" page",,,
11,"Proceed to ""Transfer Amount""","1. Complete 7 or 8 or 9
2. Press Next","Brought to DuitNow ""Transfer Amount"" page
",,,
"""Transfer Amount"" page",,,,,,
