No,Test Condition,Test Execution,Expected result,Test Result (Pass/Fail),Defect # (if any),Remarks
Accessing EPF Self Contribution  page,,,,,,
1,"Access EPF Self Contribution  from Quick Access
(Must be added to Quick Access Beforehand)
","1. Home page
2. Quick Access
3. EPF Self Contribution 

","Brought to QuickPay reload page 

",,,
2,"Access EPF Self Contribution  from Menu
","1. Home page
2. Menu
3. EPF Self Contribution 

","Brought to QuickPay reload page
",,,
EPF Self Contribution ,,,,,,
3,EPF Self Contribution  Page,"1. Home page
2. Menu
3. EPF Self Contribution 

","EPF Self Contribution  page - 
•	Pay From
•	Pay To
•	Amount
•	Detail
•	Review",,,
4,EPF Self Contribution  Page - Change FROM account,"1. Home page
2. Menu
3. EPF Self Contribution 
4. Click Edit button on FROM display
5. Select new account 
","Dropdown list of all available accounts to pay from
•	Display account balance with account number 

After selecting different account, the account is reflected on the EPF Self Contribution  page  

	Customer select account > Tick box will appear once selection has been made",,,
5,EPF Self Contribution  Page - Select EPF Number,"1. Home page
2. Menu
3. EPF Self Contribution 
4. Change TO 
5. Enter  EPF No to transfer to
","Acceptance Criteria
1.	Display empty amount with EPF No.
2.	The column should be only able to enter numeric

1.	Display the following information 
•	Recipient Name, EPF No and Amount [displayed based on the EPF No and amount that customer provide]
•	EPF Contribution, Transfer to and EPF Member MyKad No [ To be displayed]
•	Recipient Reference 
•	Other Payment Details [Optional]
•	Next [button]",,,
6,"Proceed to Details page
","1. Home page
2. Menu
3. EPF Self Contribution 
4. Select FROM account
5. Enter  TO information",Brought to Details page ,,,
Details page,,,,,,
7,Details page,"1. Home page
2. Menu
3. EPF Self Contribution 
4. Select FROM account 
5. Select TO information
6. Details Page","1.	Front end able to display the following:
•	Recipient Name [displayed based on the EPF No that customer provide]
•	Keypad – For amount to be keyed in
Acceptance Criteria
1.	Display empty amount with RM0.00
2.	The column should be only able to enter numeric
",,,
